Inflation, consumer prices (annual %),"FP.CPI.TOTL.ZG","United States","USA","1.6400434423899","3.156841568622","2.06933726526067","1.46483265562717","1.62222297740817","0.118627135552451","1.26158320570536","2.13011000365961","2.44258329692817","1.81221007526021"																		
Inflation, consumer prices (annual %),"FP.CPI.TOTL.ZG","Ukraine","UKR","9.37293105078978","7.95572466274651","0.568727971803845","-0.2389486260454","12.0718562874252","48.6998646434424","13.9127101997796","14.4383227488749","10.9518559353178","7.88671745611135"																		

