Year;USA;UKR;HigherInflation
2010;1.6400434423899;9.37293105078978;UKR
2011;3.156841568622;7.95572466274651;UKR
2012;2.06933726526067;0.568727971803845;USA
2013;1.46483265562717;-0.2389486260454;USA
2014;1.62222297740817;12.0718562874252;UKR
2015;0.118627135552451;48.6998646434424;UKR
2016;1.26158320570536;13.9127101997796;UKR
2017;2.13011000365961;14.4383227488749;UKR
2018;2.44258329692817;10.9518559353178;UKR
2019;1.81221007526021;7.88671745611135;UKR
